time,gFx,gFy,gFz,TgF
2.587936,-0.3933,0.5719,0.2381,0.73
2.604852,-0.3815,0.5267,0.2419,0.69
2.640618,-0.3321,0.4497,0.2008,0.59
2.655737,-0.3363,0.4583,0.2302,0.61
2.670262,-0.3055,0.4439,0.2486,0.59
2.687788,-0.2840,0.4541,0.2272,0.58
2.720476,-0.2321,0.3879,0.2530,0.52
2.740929,-0.1774,0.3579,0.2509,0.47
2.765975,-0.2097,0.3847,0.2316,0.50
2.773522,-0.2109,0.3717,0.2490,0.49
2.787792,-0.1965,0.3430,0.2933,0.49
2.821128,-0.2244,0.3808,0.3162,0.54
2.841639,-0.2666,0.4282,0.3052,0.59
2.861287,-0.2940,0.4546,0.2717,0.61
2.871242,-0.3069,0.4483,0.2833,0.61
2.904289,-0.3048,0.5184,0.3091,0.68
2.922169,-0.2967,0.5369,0.4178,0.74
2.941323,-0.2603,0.5126,0.3441,0.67
2.963002,-0.2698,0.4136,0.2974,0.58
2.971979,-0.2803,0.3803,0.2854,0.55
3.004648,-0.2950,0.3153,0.4049,0.59
3.020933,-0.3258,0.3434,0.4973,0.69
3.042648,-0.2610,0.4385,0.3919,0.64
3.066934,-0.1764,0.4395,0.4380,0.65
3.088232,-0.1388,0.6892,0.6948,0.99
3.105932,-0.2913,0.7897,0.9746,1.29
3.122328,-0.3698,0.8447,0.9446,1.32
3.142419,-0.4045,0.6557,0.7859,1.10
3.155433,-0.3766,0.5692,0.8033,1.05
3.188443,-0.3621,0.8080,0.9050,1.27
3.205628,-0.4255,1.0047,0.9122,1.42
3.222156,-0.4236,1.0309,0.7136,1.32
3.242489,-0.3360,0.6724,0.7178,1.04
3.266885,-0.1603,0.3283,0.7285,0.81
3.288781,-0.0980,0.2530,0.7288,0.78
3.305765,-0.0628,0.3090,0.6767,0.75
3.323047,-0.1007,0.3708,0.6415,0.75
3.346323,-0.1561,0.3570,0.6214,0.73
3.368688,-0.1997,0.3048,0.5774,0.68
3.390143,-0.2160,0.2880,0.6132,0.71
3.406561,-0.2197,0.3069,0.6379,0.74
3.423604,-0.2079,0.3498,0.6789,0.79
3.443363,-0.2074,0.4015,0.7123,0.84
3.472746,-0.2190,0.3796,0.7192,0.84
3.488858,-0.2332,0.3551,0.7244,0.84
3.506699,-0.2116,0.3221,0.7046,0.80
3.542703,-0.2077,0.3085,0.7576,0.84
3.556661,-0.1899,0.2848,0.7304,0.81
3.571609,-0.2002,0.2684,0.7388,0.81
3.588634,-0.2537,0.3830,0.6647,0.81
3.622232,-0.1864,0.1256,0.7644,0.80
