time,gFx,gFy,gFz,TgF
2.637150,0.0892,-0.2970,1.0508,1.10
2.652231,0.0826,-0.2976,1.0572,1.10
2.670657,0.0862,-0.3032,1.0579,1.10
2.690533,0.0862,-0.3058,1.0634,1.11
2.717668,0.0841,-0.2972,1.0569,1.10
2.734805,0.0853,-0.2983,1.0543,1.10
2.752436,0.0872,-0.2978,1.0506,1.10
2.769553,0.0934,-0.2976,1.0364,1.08
2.809578,0.0892,-0.2916,1.0294,1.07
2.811060,0.0892,-0.2914,1.0318,1.08
2.842964,0.0892,-0.2892,1.0496,1.09
2.852871,0.0850,-0.2890,1.0511,1.09
2.869158,0.0885,-0.2885,1.0564,1.10
2.890502,0.0843,-0.2907,1.0616,1.10
2.933454,0.0880,-0.2968,1.0680,1.11
2.934427,0.0880,-0.2968,1.0680,1.11
2.952339,0.0892,-0.2978,1.0613,1.11
2.985228,0.0890,-0.3007,1.0543,1.10
3.006709,0.0826,-0.2965,1.0552,1.10
3.033491,0.0762,-0.2978,1.0484,1.09
3.038375,0.0814,-0.2958,1.0480,1.09
3.052921,0.0802,-0.2914,1.0513,1.09
3.086092,0.0855,-0.2932,1.0518,1.10
3.108230,0.0867,-0.2932,1.0625,1.11
3.140741,0.0843,-0.2953,1.0621,1.11
3.148598,0.0841,-0.2944,1.0628,1.11
3.173197,0.0797,-0.2976,1.0657,1.11
3.185910,0.0804,-0.2978,1.0690,1.11
3.203634,0.0829,-0.2995,1.0623,1.11
3.242389,0.0848,-0.2956,1.0436,1.09
3.246349,0.0848,-0.2946,1.0436,1.09
3.272069,0.0865,-0.2927,1.0423,1.09
3.284878,0.0816,-0.2907,1.0457,1.09
3.307956,0.0875,-0.2892,1.0438,1.09
3.342486,0.0841,-0.2921,1.0587,1.10
3.343329,0.0841,-0.2921,1.0587,1.10
3.369971,0.0899,-0.2985,1.0452,1.09
3.387152,0.0860,-0.2995,1.0431,1.09
3.409832,0.0782,-0.3009,1.0523,1.10
3.438078,0.0799,-0.2965,1.0579,1.10
3.454137,0.0858,-0.2921,1.0604,1.10
3.471604,0.0858,-0.2912,1.0597,1.10
3.487310,0.0858,-0.2932,1.0599,1.10
3.508281,0.0838,-0.2873,1.0562,1.10
3.539583,0.0858,-0.2927,1.0494,1.09
3.554664,0.0855,-0.2936,1.0492,1.09
3.571505,0.0843,-0.2944,1.0545,1.10
3.587669,0.0846,-0.3009,1.0562,1.10
3.609338,0.0818,-0.3000,1.0560,1.10
3.640187,0.0848,-0.3044,1.0511,1.10
3.653967,0.0838,-0.3024,1.0564,1.10
3.677410,0.0838,-0.2958,1.0564,1.10
3.688128,0.0853,-0.2972,1.0582,1.10
3.709704,0.0865,-0.2965,1.0569,1.10
3.740442,0.0821,-0.2946,1.0516,1.10
3.753495,0.0865,-0.2927,1.0516,1.10
3.787841,0.0872,-0.2912,1.0457,1.09
3.809262,0.0878,-0.2925,1.0511,1.09
3.838822,0.0872,-0.2995,1.0576,1.10
3.839539,0.0872,-0.2995,1.0576,1.10
3.854871,0.0826,-0.2981,1.0601,1.10
3.893777,0.0809,-0.3007,1.0545,1.10
3.929559,0.0829,-0.2932,1.0499,1.09
3.930792,0.0838,-0.2919,1.0506,1.09
3.937403,0.0853,-0.2936,1.0492,1.09
3.971264,0.0904,-0.3005,1.0374,1.08
3.988488,0.0875,-0.3017,1.0371,1.08
4.009586,0.0843,-0.2976,1.0520,1.10
4.036539,0.0821,-0.2963,1.0638,1.11
4.041461,0.0780,-0.2956,1.0682,1.11
4.072203,0.0850,-0.2890,1.0641,1.11
4.089045,0.0885,-0.2880,1.0589,1.10
4.110276,0.0848,-0.2902,1.0459,1.09
4.142133,0.0875,-0.2944,1.0354,1.08
4.154783,0.0885,-0.2914,1.0338,1.08
4.172046,0.0843,-0.2932,1.0389,1.08
4.188731,0.0804,-0.2995,1.0506,1.10
4.210091,0.0816,-0.2988,1.0545,1.10
4.241057,0.0806,-0.3002,1.0631,1.11
4.255140,0.0821,-0.2972,1.0616,1.11
4.274808,0.0785,-0.2978,1.0569,1.10
4.288429,0.0821,-0.2944,1.0567,1.10
4.311281,0.0853,-0.2934,1.0511,1.09
4.346299,0.0848,-0.2904,1.0487,1.09
4.355953,0.0872,-0.2900,1.0480,1.09
4.373694,0.0843,-0.2939,1.0520,1.10
4.411626,0.0811,-0.2946,1.0541,1.10
4.442621,0.0785,-0.2948,1.0574,1.10
4.443394,0.0785,-0.2948,1.0574,1.10
4.455942,0.0814,-0.2978,1.0638,1.11
4.489356,0.0767,-0.2941,1.0604,1.10
4.510543,0.0780,-0.2902,1.0616,1.10
4.550252,0.0806,-0.2946,1.0350,1.08
4.551342,0.0806,-0.2968,1.0364,1.08
4.572440,0.0831,-0.2995,1.0359,1.08
4.589915,0.0829,-0.2963,1.0462,1.09
4.605676,0.0787,-0.2932,1.0564,1.10
4.628525,0.0792,-0.2900,1.0601,1.10
4.658660,0.0870,-0.2925,1.0621,1.11
4.673355,0.0818,-0.2892,1.0625,1.10
4.692701,0.0782,-0.2914,1.0592,1.10
4.706294,0.0778,-0.2892,1.0589,1.10
4.728398,0.0792,-0.2929,1.0484,1.09
4.760102,0.0757,-0.2932,1.0529,1.10
4.772902,0.0773,-0.2970,1.0520,1.10
4.789702,0.0778,-0.3000,1.0513,1.10
4.806108,0.0785,-0.2976,1.0482,1.09
4.827438,0.0785,-0.2981,1.0506,1.09
4.854572,0.0762,-0.2948,1.0541,1.10
4.865491,0.0778,-0.2960,1.0552,1.10
4.890623,0.0821,-0.2907,1.0618,1.10
4.912894,0.0790,-0.2909,1.0574,1.10
4.943029,0.0790,-0.2916,1.0531,1.10
4.956570,0.0769,-0.2929,1.0506,1.09
4.973580,0.0773,-0.2902,1.0487,1.09
4.990201,0.0765,-0.2929,1.0480,1.09
5.007358,0.0778,-0.2934,1.0525,1.10
5.029096,0.0799,-0.2968,1.0579,1.10
5.056092,0.0755,-0.2988,1.0613,1.11
5.074245,0.0767,-0.2948,1.0525,1.10
5.090052,0.0769,-0.2941,1.0572,1.10
5.112157,0.0767,-0.2902,1.0548,1.10
5.139268,0.0799,-0.2965,1.0350,1.08
5.156262,0.0780,-0.2978,1.0406,1.09
5.174979,0.0745,-0.2978,1.0440,1.09
5.207418,0.0726,-0.2960,1.0594,1.10
5.229816,0.0790,-0.2925,1.0655,1.11
5.256083,0.0765,-0.2909,1.0665,1.11
5.274575,0.0782,-0.2912,1.0589,1.10
5.291511,0.0797,-0.2921,1.0511,1.09
5.308048,0.0787,-0.2929,1.0487,1.09
5.329400,0.0741,-0.2963,1.0462,1.09
5.356434,0.0767,-0.2972,1.0469,1.09
5.375829,0.0778,-0.2997,1.0431,1.09
5.391736,0.0765,-0.2988,1.0467,1.09
5.408046,0.0762,-0.2985,1.0538,1.10
5.428670,0.0785,-0.2968,1.0574,1.10
5.455710,0.0774,-0.2946,1.0592,1.10
5.474812,0.0774,-0.2921,1.0589,1.10
5.490907,0.0806,-0.2885,1.0611,1.10
5.513556,0.0790,-0.2907,1.0513,1.09
5.539655,0.0790,-0.2880,1.0516,1.09
5.557565,0.0769,-0.2909,1.0520,1.09
5.575213,0.0780,-0.2948,1.0474,1.09
5.591510,0.0809,-0.2897,1.0504,1.09
