time,gFx,gFy,gFz,TgF
2.698985,-0.4753,0.3950,0.7080,0.94
2.715722,-0.4697,0.3852,0.6860,0.92
2.736175,-0.4629,0.1794,0.4291,0.66
2.749535,-0.2728,0.3605,0.5301,0.70
2.782530,-0.5587,0.4690,0.6132,0.95
2.799314,-0.6396,0.5951,0.7668,1.16
2.816027,-0.6268,0.5587,0.7642,1.14
2.836638,-0.5401,0.6323,0.6027,1.03
2.849589,-0.5438,0.6701,0.4355,0.97
2.883155,-0.2742,0.5641,0.2607,0.68
2.899577,-0.1112,0.6098,0.3084,0.69
2.917624,-0.2578,0.6618,0.2118,0.74
2.937209,-0.3470,0.6443,0.2526,0.77
2.953192,-0.4599,0.6000,0.2158,0.79
2.984576,-0.1731,0.4383,0.3570,0.59
3.001725,-0.0289,0.4221,0.6379,0.77
3.017855,-0.2556,0.4686,0.1395,0.55
3.037535,-0.2402,0.5382,0.0304,0.59
3.058789,-0.2454,0.4334,0.1999,0.54
3.084933,0.0580,0.2144,0.3248,0.39
3.101196,-0.0115,0.3828,0.2512,0.46
3.118606,-0.2959,0.6806,0.2744,0.79
3.138630,-0.6242,0.5878,0.1624,0.87
3.167965,-0.5345,0.5123,0.3534,0.82
3.184558,-0.4323,0.4956,0.5373,0.85
3.201895,-0.1678,0.4167,0.6244,0.77
3.238048,0.0186,0.4423,0.8434,0.95
3.255484,-0.0039,0.5130,2.8193,2.87
3.268532,-0.5376,0.6264,1.0110,1.31
3.284731,-0.5128,0.7146,0.6449,1.09
3.301151,-0.2006,0.5907,0.4560,0.77
3.340335,0.0266,0.4847,0.6725,0.83
3.353188,-0.1427,0.4766,0.2929,0.58
3.368434,-0.1000,0.6582,0.0720,0.67
3.384878,-0.0128,0.6799,0.0725,0.68
3.422156,-0.5181,0.4563,1.0557,1.26
3.439102,-0.5120,0.4318,1.5348,1.67
3.451629,-0.3977,0.3793,0.7554,0.93
3.468355,-0.3062,0.3940,0.3243,0.60
3.484448,-0.4658,0.3877,0.0623,0.61
3.519307,-0.5301,0.3417,0.7624,0.99
3.535671,-0.3483,0.4416,0.7554,0.94
3.555404,-0.2835,0.5311,0.4150,0.73
3.572363,-0.2828,0.4390,0.4953,0.72
3.601696,-0.2377,0.3530,0.4476,0.62
3.619415,-0.2449,0.3292,0.4800,0.63
3.638727,-0.2847,0.3216,0.7974,0.91
3.657684,-0.2908,0.3742,0.6012,0.77
3.668530,-0.3879,0.3987,0.5916,0.81
3.702792,-0.4697,0.3439,0.5406,0.79
3.719620,-0.3807,0.3417,0.9211,1.05
3.735989,-0.6970,0.3710,0.7263,1.07
3.755842,-0.7090,0.2185,0.4582,0.87
3.785586,-0.2329,0.1559,0.6121,0.67
3.802896,-0.2927,0.1809,0.5631,0.66
3.819750,-0.3285,0.0523,0.6461,0.73
3.840285,-0.4078,0.1520,0.5156,0.67
3.858584,-0.5555,0.2488,0.4294,0.74
3.886367,-0.5213,0.2376,0.5946,0.83
3.902910,-0.6100,0.2347,0.7321,0.98
3.919961,-0.6427,0.1073,0.7766,1.01
3.956176,-0.1862,0.5233,0.1757,0.58
3.980475,-0.3497,0.4621,0.1566,0.60
3.986399,-0.4551,0.4074,0.2500,0.66
4.002494,-0.9402,0.2603,0.6745,1.19
4.040415,-0.5883,0.4854,0.4634,0.89
4.058610,-0.4646,0.5003,0.4252,0.80
4.068957,-0.3868,0.5824,0.4844,0.85
4.086173,-0.4474,0.6462,0.4860,0.92
4.103814,-0.6476,0.7037,0.4760,1.07
4.136193,-0.6315,0.7428,0.2375,1.00
4.157006,-0.4663,0.5616,0.3208,0.80
4.177856,-0.2637,0.4871,0.3323,0.65
4.186723,-0.2248,0.4695,0.3064,0.60
4.205586,-0.1708,0.4575,0.3714,0.61
4.240908,-0.2889,0.4451,0.2727,0.60
4.263172,-0.1852,0.5683,0.1107,0.61
4.271232,-0.2605,0.5888,0.1603,0.66
4.287198,-0.1662,0.6096,0.3458,0.72
