time,gFx,gFy,gFz,TgF
2.705883,0.2037,0.7151,0.2018,0.77
2.733896,0.1867,0.7097,0.2041,0.76
2.751826,0.1850,0.7193,0.2023,0.77
2.769507,0.1848,0.7117,0.1867,0.76
2.784812,0.1938,0.7156,0.1999,0.77
2.806256,0.2064,0.7019,0.1987,0.76
2.835410,0.1838,0.7156,0.2143,0.77
2.852331,0.1824,0.7127,0.1923,0.76
2.868632,0.1818,0.7149,0.2045,0.77
2.906945,0.1978,0.7186,0.1855,0.77
2.940249,0.1850,0.7205,0.2226,0.78
2.941265,0.1850,0.7205,0.2226,0.78
2.952378,0.1889,0.7127,0.2270,0.77
2.985260,0.1882,0.7130,0.1831,0.76
3.007018,0.1862,0.7179,0.1825,0.76
3.036021,0.1990,0.7061,0.2143,0.76
3.037291,0.2013,0.7044,0.2094,0.76
3.071350,0.1985,0.7132,0.1896,0.76
3.086850,0.1916,0.7176,0.1855,0.77
3.107715,0.1974,0.7085,0.1950,0.76
3.138097,0.1962,0.7016,0.1985,0.76
3.141751,0.1990,0.7041,0.1997,0.76
3.170420,0.1747,0.7095,0.1925,0.76
3.183628,0.1796,0.7151,0.1913,0.76
3.206721,0.1784,0.7205,0.1985,0.77
3.258230,0.2018,0.7151,0.2062,0.77
3.262732,0.2023,0.7144,0.2011,0.77
3.263496,0.2023,0.7144,0.2011,0.77
3.286925,0.1936,0.7179,0.1896,0.77
3.318099,0.2061,0.7112,0.1992,0.77
3.355516,0.1974,0.7112,0.1882,0.76
3.361705,0.1924,0.7056,0.1835,0.75
3.390822,0.1953,0.7063,0.1952,0.76
3.391871,0.1953,0.7063,0.1952,0.76
3.423972,0.1985,0.7063,0.1977,0.76
3.456963,0.1920,0.7061,0.1920,0.76
3.457686,0.1920,0.7061,0.1920,0.76
3.468070,0.1973,0.7090,0.1913,0.76
3.502195,0.1997,0.7137,0.2060,0.77
3.522921,0.1897,0.7151,0.1928,0.76
3.541207,0.1987,0.7161,0.1882,0.77
3.552360,0.2006,0.7102,0.1776,0.76
3.569617,0.1965,0.7137,0.1989,0.77
3.608415,0.1875,0.7179,0.1933,0.77
3.628341,0.1974,0.7112,0.1815,0.76
3.640220,0.2011,0.7134,0.1820,0.76
3.653580,0.2025,0.7083,0.1820,0.76
3.687507,0.1867,0.7114,0.2065,0.76
3.704316,0.1889,0.7097,0.1913,0.76
3.724924,0.1990,0.7027,0.1782,0.75
3.773465,0.1855,0.7105,0.1915,0.76
3.774557,0.1813,0.7144,0.1904,0.76
3.787823,0.1860,0.7193,0.2008,0.77
3.806147,0.1936,0.7117,0.2057,0.77
3.824789,0.1955,0.7170,0.1923,0.77
3.874068,0.2013,0.7198,0.2090,0.78
3.875170,0.2006,0.7170,0.2055,0.77
3.888188,0.1992,0.7156,0.2085,0.77
3.905181,0.2013,0.7095,0.1754,0.76
3.926048,0.1918,0.7166,0.1999,0.77
3.957539,0.1901,0.7073,0.1911,0.76
3.970764,0.1916,0.7073,0.1913,0.76
3.988868,0.1931,0.7090,0.1899,0.76
4.004596,0.1957,0.7083,0.1901,0.76
4.025532,0.1967,0.7130,0.1806,0.76
4.054727,0.1960,0.7144,0.1852,0.76
4.071275,0.1985,0.7161,0.1950,0.77
4.088836,0.2054,0.7190,0.1913,0.77
4.105680,0.1908,0.7266,0.1997,0.78
4.126485,0.1962,0.7186,0.1987,0.77
4.153585,0.1920,0.7161,0.1857,0.76
4.172065,0.1960,0.7183,0.1796,0.77
4.189306,0.1936,0.7156,0.1972,0.77
4.204601,0.1967,0.7085,0.1969,0.76
4.226809,0.1916,0.7132,0.1887,0.76
4.253226,0.2016,0.7127,0.1647,0.76
4.271415,0.2133,0.7127,0.1822,0.77
4.290028,0.2105,0.7117,0.1992,0.77
4.326326,0.1943,0.7119,0.1615,0.76
4.327242,0.1943,0.7119,0.1615,0.76
4.358811,0.1908,0.7083,0.1892,0.76
4.372143,0.1887,0.7073,0.1864,0.76
4.389305,0.1892,0.7095,0.1738,0.75
4.426531,0.2004,0.7166,0.1720,0.76
4.460126,0.2054,0.7186,0.1987,0.77
4.461063,0.2054,0.7186,0.1987,0.77
4.472275,0.2061,0.7151,0.1913,0.77
