time,gFx,gFy,gFz,TgF
2.607636,-0.2344,0.2826,0.6633,0.76
2.628891,-0.1999,0.2799,0.6694,0.75
2.645913,-0.2272,0.2769,0.6796,0.77
2.682587,-0.2952,0.3160,0.7097,0.83
2.699987,-0.3050,0.3260,0.6911,0.82
2.711508,-0.3285,0.3434,0.6645,0.82
2.728234,-0.3133,0.3381,0.6855,0.83
2.744934,-0.3260,0.3444,0.6874,0.84
2.764942,-0.3353,0.3329,0.7074,0.85
2.794575,-0.3285,0.3632,0.6782,0.84
2.812370,-0.3274,0.3703,0.6356,0.81
2.828397,-0.3353,0.3742,0.6535,0.82
2.862230,-0.3795,0.4791,0.6315,0.88
2.883002,-0.4187,0.5721,0.6347,0.95
2.895512,-0.4191,0.6173,0.6852,1.01
2.912127,-0.4187,0.6039,0.7346,1.04
2.927708,-0.3726,0.5404,0.7256,0.98
2.961915,-0.3634,0.5457,0.5378,0.85
2.982981,-0.3729,0.6093,0.5188,0.88
2.995394,-0.3681,0.6338,0.5389,0.91
3.012311,-0.4159,0.6919,0.5340,0.97
3.028655,-0.4492,0.7000,0.4858,0.96
3.062837,-0.3702,0.5262,0.3585,0.74
3.085364,-0.3174,0.4786,0.2441,0.62
3.111384,-0.2689,0.5154,0.2773,0.64
3.115873,-0.2575,0.5152,0.2461,0.63
3.147433,-0.2918,0.5231,0.2833,0.66
3.164296,-0.3297,0.5438,0.2481,0.68
3.184761,-0.3238,0.5171,0.2416,0.66
3.207072,-0.2884,0.5108,0.2297,0.63
3.214186,-0.2920,0.5079,0.2260,0.63
3.246958,-0.2479,0.5255,0.1622,0.60
3.263085,-0.2798,0.5049,0.1612,0.60
3.284148,-0.2979,0.4932,0.1892,0.61
3.305729,-0.2307,0.4018,0.1752,0.50
3.330411,-0.2226,0.3789,0.1647,0.47
3.347166,-0.2104,0.3838,0.1661,0.47
3.368324,-0.1862,0.4150,0.1524,0.48
3.393999,-0.2370,0.4646,0.1691,0.55
3.413049,-0.2693,0.4924,0.1759,0.59
3.430127,-0.2967,0.4991,0.1576,0.60
3.447661,-0.3353,0.4920,0.1290,0.61
3.464799,-0.3120,0.5150,0.1263,0.62
3.485686,-0.3274,0.5399,0.1640,0.65
3.507905,-0.3197,0.5697,0.1857,0.68
3.530137,-0.3485,0.6738,0.1561,0.77
3.547979,-0.3747,0.7061,0.1535,0.81
3.564972,-0.3534,0.6469,0.1989,0.76
3.586631,-0.3537,0.5744,0.2285,0.71
3.612630,-0.3111,0.5457,0.1649,0.65
3.630912,-0.3050,0.5492,0.1508,0.65
3.648621,-0.3040,0.5788,0.1747,0.68
3.686691,-0.3481,0.5516,0.1581,0.67
3.712110,-0.3722,0.5648,0.1696,0.70
3.713569,-0.3771,0.5680,0.1671,0.70
3.731328,-0.3791,0.5595,0.1889,0.70
3.764510,-0.3651,0.5392,0.1652,0.67
3.785293,-0.4050,0.5944,0.1537,0.74
3.807520,-0.3996,0.6557,0.1764,0.79
3.814074,-0.3973,0.6758,0.1931,0.81
3.832857,-0.3884,0.7391,0.1515,0.85
